order_id,order_date,ship_date,customer_id,product_id,quantity,sales,profit
CA-2016-152156,11/8/2016,11/11/2016,CG-12520,FUR-BO-10001798,2,261.96,41.9136
CA-2016-138688,6/12/2016,6/16/2016,DV-13045,OFF-LA-10000240,2,14.62,6.8714
US-2015-108966,10/11/2015,10/18/2015,SO-20335,FUR-TA-10000577,5,957.5775,-383.031
CA-2014-115812,6/9/2014,6/14/2014,BH-11710,FUR-FU-10001487,7,48.86,14.1694
CA-2017-114412,4/15/2017,4/20/2017,AA-10480,OFF-PA-10002365,3,15.552,5.4432
CA-2016-161389,12/5/2016,12/10/2016,IM-15070,OFF-BI-10003656,3,407.976,132.5922
US-2015-118983,11/22/2015,11/26/2015,HP-14815,OFF-AP-10002311,5,68.81,-123.858
CA-2014-105893,11/11/2014,11/18/2014,PK-19075,OFF-ST-10004186,6,665.88,13.3176
CA-2014-167164,5/13/2014,5/15/2014,AG-10270,OFF-ST-10000107,2,55.5,9.99
CA-2014-143336,8/27/2014,9/1/2014,ZD-21925,OFF-AR-10003056,2,8.56,2.4824
CA-2016-137330,12/9/2016,12/13/2016,KB-16585,OFF-AR-10000246,7,19.46,5.0596
US-2017-156909,7/16/2017,7/18/2017,SF-20065,FUR-CH-10002774,2,71.372,-1.0196
CA-2015-106320,9/25/2015,9/30/2015,EB-13870,FUR-TA-10000577,3,1044.63,240.2649
CA-2016-121755,1/16/2016,1/20/2016,EH-13945,OFF-BI-10001634,2,11.648,4.2224
US-2015-150630,9/17/2015,9/21/2015,TB-21520,FUR-BO-10004834,7,3083.43,-1665.0522
CA-2017-107727,10/19/2017,10/23/2017,MA-17560,OFF-PA-10000249,3,29.472,9.9468
CA-2016-117590,12/8/2016,12/10/2016,GH-14485,TEC-PH-10004977,7,1097.544,123.4737
CA-2015-117415,12/27/2015,12/31/2015,SN-20710,OFF-EN-10002986,9,113.328,35.415
CA-2017-120999,9/10/2017,9/15/2017,LC-16930,TEC-PH-10004093,4,147.168,16.5564
CA-2016-101343,7/17/2016,7/22/2016,RA-19885,OFF-ST-10003479,2,77.88,3.894
CA-2017-139619,9/19/2017,9/23/2017,ES-14080,OFF-ST-10003282,2,95.616,9.5616
CA-2016-118255,3/11/2016,3/13/2016,ON-18715,TEC-AC-10000171,2,45.98,19.7714
CA-2014-146703,10/20/2014,10/25/2014,PO-18865,OFF-ST-10001713,4,211.96,8.4784
CA-2016-169194,6/20/2016,6/25/2016,LH-16900,TEC-AC-10002167,3,45.0,4.95
CA-2015-115742,4/18/2015,4/22/2015,DP-13000,OFF-BI-10004410,6,38.22,17.9634
CA-2016-105816,12/11/2016,12/17/2016,JM-15265,OFF-FA-10000304,7,15.26,6.2566
CA-2016-111682,6/17/2016,6/18/2016,TB-21055,OFF-ST-10000604,6,208.56,52.14
CA-2015-135545,11/24/2015,11/30/2015,KM-16720,TEC-AC-10004633,2,13.98,6.1512
US-2015-164175,4/30/2015,5/5/2015,PS-18970,FUR-CH-10001146,5,213.115,-15.2225
CA-2014-106376,12/5/2014,12/10/2014,BS-11590,OFF-AR-10002671,8,1113.024,111.3024
CA-2016-119823,6/4/2016,6/6/2016,KD-16270,OFF-PA-10000482,2,75.88,35.6636
CA-2016-106075,9/18/2016,9/23/2016,HM-14980,OFF-BI-10004654,1,4.616,1.731
CA-2017-114440,9/14/2017,9/17/2017,TB-21520,OFF-PA-10004675,3,19.05,8.763
US-2015-134026,4/26/2015,5/2/2015,JE-15745,FUR-CH-10000513,8,831.936,-114.3912
US-2017-118038,12/9/2017,12/11/2017,KB-16600,OFF-BI-10004182,3,1.248,-1.9344
US-2014-147606,11/26/2014,12/1/2014,JE-15745,FUR-FU-10003194,5,19.3,-14.475
CA-2016-127208,6/12/2016,6/15/2016,SC-20770,OFF-AP-10002118,1,208.16,56.2032
CA-2014-139451,10/12/2014,10/16/2014,DN-13690,OFF-AR-10002053,5,14.9,4.172
CA-2015-149734,9/3/2015,9/8/2015,JC-16105,OFF-EN-10000927,7,200.984,62.8075
US-2017-119662,11/13/2017,11/16/2017,CS-12400,OFF-ST-10003656,3,230.376,-48.9549
CA-2017-140088,5/28/2017,5/30/2017,PO-18865,FUR-CH-10000863,2,301.96,33.2156
CA-2017-155558,10/26/2017,11/2/2017,PG-18895,TEC-AC-10001998,1,19.99,6.7966
CA-2016-159695,4/5/2016,4/10/2016,GM-14455,OFF-ST-10003442,7,158.368,13.8572
CA-2016-109806,9/17/2016,9/22/2016,JS-15685,OFF-AR-10004930,3,20.1,6.633
